name,family,components,realizability_margin,exact_beta,exact_gamma_norm,standardized_third_cumulant_norm,standardized_fourth_cumulant_norm,fourth_source_disagreement,tail_disagreement,reconstruction_failure,stage9_fourth_source_error,grad_fourth_source_error,best_algebraic_fourth_source_error,both_algebraic_closures_unsafe,stage9_status,grad_status,source_sensor_active,combined_sensor_active
random_0100,random_multivariate_mixture,4,0.011329901486032638,-0.03523021214638987,0.3617216042943074,2.5042451164881534,11.751739269574053,0.5361596746063743,0.813011714758696,False,0.39151067246379684,0.18329494580969483,0.18329494580969483,True,PASS,PASS,True,True
random_0101,random_multivariate_mixture,4,0.00014752046820387907,-0.073296205863675,2.5268884521389863,7.33147185423341,16.818260796019203,1.8577420299157927,0.3890154491875539,False,0.8881655652588499,3.852564205191174,0.8881655652588499,True,PASS,PASS,True,True
random_0102,random_multivariate_mixture,4,0.003499441831266537,-0.07341013398997355,0.7611401579788335,2.2126157401832134,9.281027801490847,0.6375809072469614,0.25321603482330746,False,1.1566419870440094,0.321628887039209,0.321628887039209,True,PASS,PASS,True,True
random_0103,random_multivariate_mixture,4,0.0008490264033620752,-0.02844583646141657,0.5907588133200462,10.548654373532571,84.42658284305128,1.509775731335299,1.0787767404592936,False,1.6737655855151508,0.24572960426602755,0.24572960426602755,True,PASS,PASS,True,True
random_0104,random_multivariate_mixture,2,0.020485037702776668,-0.03078423859311986,0.3596551149318481,2.5084379928613783,2.9058946391949654,0.6890742609773235,0.38674275740756253,False,1.0479484213935688,0.07470759272639829,0.07470759272639829,True,PASS,PASS,True,True
random_0105,random_multivariate_mixture,3,0.0027394980277204665,-0.025085492115176085,0.16569055737885305,2.0256870977286474,3.7043426991957262,0.6078585008723396,0.7028728474413267,False,0.5477448361939221,0.1243453559643646,0.1243453559643646,True,PASS,PASS,True,True
random_0106,random_multivariate_mixture,3,0.002724816830709287,-0.038091565422667256,0.162133789202473,2.7287045529042704,6.576403273496731,0.23716811081990835,0.18178337182210663,False,0.19050515966008819,0.06603293408278296,0.06603293408278296,True,PASS,PASS,True,True
random_0107,random_multivariate_mixture,3,0.05129566255336071,-0.0183693939344096,0.20876464634522404,2.204945821932757,11.051195119633867,0.3740780275758459,0.8548379236139773,False,0.5422264375610621,0.334192052756844,0.334192052756844,True,PASS,PASS,True,True
random_0108,random_multivariate_mixture,2,0.0008068632437173896,-0.11166115083976826,0.006996860276009573,0.2647502149724335,0.7584496724635522,0.08279388876663955,0.056318339173616866,False,0.020994089904421552,0.069552258108086,0.020994089904421552,False,PASS,PASS,False,False
random_0109,random_multivariate_mixture,2,1.5338441605452109e-06,-0.12783009802154266,3651.915254178394,1.6523731395805676,17.042065177912853,1.6197535793029816,0.0019867196597445785,False,13.844063230454902,1.8175622171522596,1.8175622171522596,True,PASS,PASS,True,True
random_0110,random_multivariate_mixture,3,0.02544874148485424,-0.028554267716831554,0.8288394776574285,3.5654882878388676,5.210338038293181,1.2348415231284773,0.612914251239392,False,3.3891289331116194,0.747482096551563,0.747482096551563,True,PASS,PASS,True,True
random_0111,random_multivariate_mixture,3,0.00011678422080668875,-0.10377597039603524,26.05012333510487,5.780013160028521,3.9039335082783095,1.288950715079424,0.07848474521632837,False,6.330773284534973,1.060981875756422,1.060981875756422,True,PASS,PASS,True,True
random_0112,random_multivariate_mixture,2,0.00010283523249148766,-0.04471044599106922,0.3101008175322364,2.734208946276929,5.134434616539037,0.7330053723593073,0.8647314266693524,False,0.5143733271252057,0.2993211163286567,0.2993211163286567,True,PASS,PASS,True,True
random_0113,random_multivariate_mixture,4,0.01876692443261053,-0.033446347488991536,0.16642225280611245,1.2956810265605965,4.352993362224407,0.2659475989876029,0.35021020117109697,False,0.39172142064409016,0.16357789871429007,0.16357789871429007,True,PASS,PASS,True,True
random_0114,random_multivariate_mixture,3,0.0015927755383912437,-0.10280274451744331,0.03457646969911073,0.578849031732243,3.0950154520967423,0.24364719419863534,0.15606361331182433,False,0.07415421535913556,0.1754655227514747,0.07415421535913556,True,PASS,PASS,True,True
random_0115,random_multivariate_mixture,2,0.00014854647319084756,-0.1232351684598776,7.020415855887342,1.3786987239603021,16.756440941211995,0.5158053260738557,0.018555557499347643,False,0.5703887473386233,0.17889016321352497,0.17889016321352497,True,PASS,PASS,True,True
random_0116,random_multivariate_mixture,3,0.0009443667828848659,-0.06280904688095937,2.3317997199756824,18.72917580404925,162.34281097561322,1.9116841151601434,0.32267575784960273,False,17.550760452231028,1.1798118368890225,1.1798118368890225,True,PASS,PASS,True,True
random_0117,random_multivariate_mixture,2,6.569649643880058e-05,-0.125966052327043,3.823178009470771,2.2177953331140303,15.742720903191811,0.3307565951918804,0.013831210060939113,False,0.23849498678732492,0.15005165149627497,0.15005165149627497,True,PASS,PASS,True,True
random_0118,random_multivariate_mixture,3,0.0002114614840025605,-0.08217217908175214,1.0422708298004473,1.9068016548823088,12.48056763863025,1.2701234528011285,0.5969128694654262,False,2.7763173545161823,0.3395472556624872,0.3395472556624872,True,PASS,PASS,True,True
random_0119,random_multivariate_mixture,3,0.0031889200235043244,-0.057887750983241566,0.3884470595464568,2.7744482923249385,5.084935029952168,0.5716280294222107,0.327827652580194,False,0.5586976034634755,0.3135342271008533,0.3135342271008533,True,PASS,PASS,True,True
random_0120,random_multivariate_mixture,3,0.004760550286351055,-0.08153574229130055,0.9910528575010656,8.060276880516804,20.740568169769695,0.7175280317458836,0.22156406045532537,False,1.082015823152528,0.10866829403606354,0.10866829403606354,True,PASS,PASS,True,True
random_0121,random_multivariate_mixture,2,2.8103694443129836e-08,-0.127253904513107,106.81976064369059,4.284604883817908,11.641138787880756,1.0367323587012314,0.0031482377284012724,False,1.789872924946198,2.638116474788215,1.789872924946198,True,PASS,PASS,True,True
random_0122,random_multivariate_mixture,4,0.00591445451425028,-0.030734664383725154,0.08090015679324745,0.9296220539947554,3.571070589906216,0.09547932229569281,0.19435978686808064,False,0.09627891309932317,0.061347164639644146,0.061347164639644146,True,PASS,PASS,False,False
random_0123,random_multivariate_mixture,4,0.0009340719252400404,-0.0609396078884292,3.5363540806757507,4.405422084299486,10.346930453842504,1.0449947865615234,1.0053847074100146,False,1.679902969235574,0.27408811591015886,0.27408811591015886,True,PASS,PASS,True,True
random_0124,random_multivariate_mixture,2,0.00018244296225332184,-0.10696010741220749,0.24792421914521842,1.0596389257362535,11.217376354344959,0.2127264781257579,0.2220456632247638,False,0.15119712926725698,0.12583309506060844,0.12583309506060844,True,PASS,PASS,True,True
random_0125,random_multivariate_mixture,2,0.0019567226478584983,-0.09480697195869409,0.20266550583127108,1.8879977896220883,7.621556458953407,0.6890881337453225,0.5565961490201397,False,0.5593220380841527,0.23035649424150845,0.23035649424150845,True,PASS,PASS,True,True
random_0126,random_multivariate_mixture,4,0.10134037919416243,-0.0046285921518156945,0.05256136925977901,1.7194529776542682,5.759963186763335,0.12545447015295258,0.44526342713995976,False,0.14414783603830594,0.028249397191899023,0.028249397191899023,False,PASS,PASS,True,True
random_0127,random_multivariate_mixture,4,0.00020928138668838782,-0.0350699706055227,1.026830868317571,4.651245294423026,13.12128646266438,1.333902256221622,0.9507013460775121,False,2.2969708990213906,0.5785211988576178,0.5785211988576178,True,PASS,PASS,True,True
